Years,Team,Conf,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,,,
2013,Dayton,A10,112.7,28,101.4,145,64.7,174,-0.1,337,,,
2010,Seton Hall ,BE,112.7,35,100.7,128,69.5,34,-0.009,193,,,
2007,Ole Miss ,SEC,112.7,50,99.2,77,67.2,110,0.017,141,,,
2006,NIU,MAC,112.7,30,107.7,252,61.9,292,0.012,138,,,
2006,UCLA ,P10,112.7,31,89.3,4,61.6,298,0.02,115,,,
2005,UTEP ,WAC,112.7,32,101.1,130,65.9,172,0.015,125,,,
2004,Charlotte ,CUSA,112.7,34,98.5,73,69.7,33,0.015,131,,,
2023,Auburn,SEC,112.6,56,95.1,25,67.8,165,-0.015,233,,,
2020,Butler *,BE,112.6,25,94.2,42,63.7,341,0.032,101,,,
2019,Utah St. ,MWC,112.6,39,97.2,52,68.1,145,0.012,149,,,
2017,Texas Tech,B12,112.6,44,97.5,56,63.8,327,-0.082,333,,,
2017,Colorado ,P12,112.6,45,102.3,116,67.7,202,-0.05,295,,,
2017,NC State,ACC,112.6,46,107.6,229,70.3,71,0.019,134,,,
2017,Akron ,MAC,112.6,47,106.4,209,66.3,266,0.084,10,,,
2016,UCLA,P12,112.6,51,101.9,118,69.5,98,-0.056,307,,,
2015,Providence ,BE,112.6,42,95.9,42,65.2,129,0.038,85,,,
2015,West Virginia ,B12,112.6,43,94.9,29,67.9,28,0.087,15,,,
2014,North Carolina ,ACC,112.6,48,94.2,20,69.2,18,0,186,,,
2014,Saint Mary's (CA) ,WCC,112.6,49,101.2,101,61.4,317,0.013,152,,,
2014,William & Mary,CAA,112.6,50,112.4,305,63.5,242,0.095,12,,,
2013,Michigan St. ,B10,112.6,29,88.5,7,63.1,238,0.001,174,,,
2011,Belmont ,ASun,112.6,40,94.1,28,68.4,44,-0.006,196,,,
2011,Richmond ,A10,112.6,41,96.5,54,62.1,309,0.052,52,,,
2010,Rhode Island ,A10,112.6,36,99.1,101,67.6,86,0.033,87,,,
2010,Texas A&M ,B12,112.6,37,91.2,17,64.3,243,-0.005,182,,,
2009,Eastern Ky.,OVC,112.6,38,111.7,318,59.4,331,-0.031,256,,,
2008,South Alabama ,SB,112.6,42,100.8,111,64.8,178,-0.002,174,,,
2008,Syracuse ,BE,112.6,43,98.4,75,69.9,27,-0.026,238,,,
2007,UNLV ,MWC,112.6,51,95.8,40,65.2,190,0.098,14,,,
2004,George Washington,A10,112.6,35,99.5,94,68.3,69,-0.032,239,,,
2023,TCU,B12,112.5,57,95,24,70.1,48,-0.028,256,,,
2023,Louisiana,SB,112.5,58,104.3,149,68.5,131,0.077,38,,,
2022,Texas ,B12,112.5,26,91.6,14,63.8,336,-0.043,281,,,
2021,Drake ,MVC,112.5,33,98.2,101,66.3,271,0.102,17,,,
2020,Davidson,A10,112.5,26,101.9,163,64.8,330,-0.094,339,,,
2020,Florida *,SEC,112.5,27,95.7,61,64.9,326,-0.047,296,,,
2019,ULM,SB,112.5,40,109.6,271,66.3,244,-0.057,305,,,
2019,Murray St. ,OVC,112.5,41,98.6,73,69.4,89,0.054,54,,,
2016,Milwaukee,Horz,112.5,52,107.3,217,65.9,280,-0.077,331,,,
2016,California ,P12,112.5,53,94.2,19,68.1,162,-0.053,300,,,
2015,Miami (FL) ,ACC,112.5,44,98.1,64,62.5,272,0.022,129,,,
2015,Northwestern St.,Slnd,112.5,45,117.6,348,73.2,4,0.054,55,,,
2015,Oklahoma ,B12,112.5,46,89.7,7,66.7,63,-0.045,285,,,
2014,San Francisco ,WCC,112.5,51,104.3,154,63.6,231,0.051,70,,,
2014,Oregon St.,P12,112.5,52,106.7,205,65.5,130,0.005,173,,,
2014,Canisius,MAAC,112.5,53,108.3,233,65.3,140,0.022,129,,,
2009,Stanford,P10,112.5,39,98.3,77,67.5,80,-0.022,234,,,
2008,Miami (FL) ,ACC,112.5,44,97.1,61,65.8,145,-0.003,176,,,
2006,NC State ,ACC,112.5,32,96.6,60,64.4,216,0.013,135,,,
2005,Cincinnati ,CUSA,112.5,33,92,14,68,89,-0.006,177,,,
2004,UTEP ,WAC,112.5,36,97.8,61,68.2,76,0.046,61,,,
2023,Washington St.,P12,112.4,59,99.1,62,64.2,331,-0.064,317,,,
2022,UAB ,CUSA,112.4,27,98.8,99,68.9,79,-0.035,256,,,
2022,Notre Dame ,ACC,112.4,28,97.2,69,65.6,258,0.017,141,,,
2020,SMU,Amer,112.4,28,103.8,202,64.8,331,0.004,173,,,
2017,Vanderbilt ,SEC,112.4,48,95.9,38,65.8,285,-0.048,292,,,
2017,Pittsburgh,ACC,112.4,49,103.7,158,65.4,298,0.044,70,,,
2016,Columbia,Ivy,112.4,54,106.7,209,65.1,313,-0.001,175,,,
2015,Texas ,B12,112.4,47,93.4,14,62,290,-0.079,329,,,
2014,Stanford ,P12,112.4,54,96.4,40,65.3,147,0.016,144,,,
2014,Eastern Ky. ,OVC,112.4,55,108.4,235,64.2,203,0.036,96,,,
2014,Memphis ,Amer,112.4,56,97.1,50,67.5,53,0.048,73,,,
2011,Harvard ,Ivy,112.4,42,101.8,129,63.4,264,0.051,53,,,
2007,Eastern Wash.,BSky,112.4,52,115,330,71.9,13,-0.019,226,,,
2007,Maryland ,ACC,112.4,53,90,7,71.4,17,-0.027,247,,,
2007,Virginia Tech ,ACC,112.4,54,95,31,63.7,252,-0.004,187,,,
2006,Pittsburgh ,BE,112.4,33,90.6,9,64.6,203,-0.031,244,,,
2003,Creighton ,MVC,112.4,24,94.9,40,68.4,103,0.026,99,,,
2022,Princeton,Ivy,112.3,29,106.3,250,66.9,195,0.04,93,,,
2020,Seton Hall *,BE,112.3,29,92.7,25,69.8,93,0.006,169,,,
2019,Cincinnati ,Amer,112.3,42,94.8,28,63.4,338,0.05,64,,,
2016,Colorado St.,MWC,112.3,55,110.2,274,68.1,165,-0.031,258,,,
2016,Princeton ,Ivy,112.3,56,101.7,114,68.6,138,0.036,90,,,
2015,UC Davis ,BW,112.3,48,106.2,205,62.9,258,0.067,39,,,
2014,Saint Joseph's ,A10,112.3,57,99.4,68,64.3,198,0.079,25,,,
2014,SFA ,Slnd,112.3,58,101.5,105,61.2,323,0.073,33,,,
2013,Ole Miss ,SEC,112.3,30,95.3,51,69.2,19,-0.011,213,,,
2011,Butler ,Horz,112.3,43,95.9,46,63.5,262,0.033,94,,,
2011,Wofford ,SC,112.3,44,104.2,189,63.2,275,-0.024,239,,,
2010,Gonzaga ,WCC,112.3,38,96.1,63,67.5,95,0.079,23,,,
2008,Cal St. Fullerton ,BW,112.3,45,103.9,176,71.6,12,-0.01,195,,,
2008,Texas A&M ,B12,112.3,46,92.3,17,61.8,295,0.004,159,,,
2008,Vanderbilt ,SEC,112.3,47,99.6,88,68.2,67,0.11,5,,,
2007,Clemson ,ACC,112.3,55,93.9,24,66.4,138,-0.009,201,,,
2007,Western Ky.,SB,112.3,56,107.1,216,68.2,75,-0.016,215,,,
2005,Texas A&M,B12,112.3,34,98.9,86,64.9,219,0.007,146,,,
2004,Seton Hall ,BE,112.3,37,95,31,65.4,180,-0.004,178,,,
2004,Kansas ,B12,112.3,38,91.4,13,69.4,40,0.017,125,,,
2004,Nevada ,WAC,112.3,39,92,15,68.7,58,-0.039,251,,,
2004,Providence ,BE,112.3,40,93.9,21,65,196,0.003,165,,,
2021,Penn St.,B10,112.2,34,95.2,52,69.1,125,-0.05,286,,,
2018,N.C. A&T,MEAC,98.1,299,110.8,293,69.3,113,0.098,12,,,
2017,Virginia ,ACC,112.2,50,88,2,59.2,351,-0.03,258,,,
2017,Middle Tenn. ,CUSA,112.2,51,97.2,53,64.6,311,0.011,162,,,
2016,SFA ,Slnd,112.2,57,96.6,38,67.3,217,0.007,159,,,
2014,Florida St. ,ACC,112.2,59,97.4,54,65.2,149,-0.005,198,,,
2013,North Carolina ,ACC,112.2,31,95.1,47,69.6,12,0.038,86,,,
2010,Miami (FL),ACC,112.2,39,97.4,75,65.3,204,-0.069,321,,,
2010,Oklahoma St. ,B12,112.2,40,95.4,54,66.2,159,0.011,136,,,
2009,Michigan ,B10,112.2,40,97.5,67,62.5,285,0.014,132,,,
2009,New Mexico ,MWC,112.2,41,96.9,62,64.8,196,-0.054,302,,,
2009,Texas ,B12,112.2,42,92.5,20,65.4,160,-0.048,288,,,
2007,Texas Tech ,B12,112.2,57,101.3,110,64.9,205,0.056,47,,,
2007,Long Beach St. ,BW,112.2,58,106.8,210,71,22,0.11,5,,,
2007,NC State ,ACC,112.2,59,101.8,119,66.2,149,0.048,65,,,
2006,Arkansas ,SEC,112.2,34,93.8,29,66,133,-0.062,293,,,
2006,Arizona ,P10,112.2,35,95,40,67.7,78,-0.037,256,,,
2006,Providence,BE,112.2,36,102.7,162,68.7,50,-0.058,290,,,
2005,Air Force,MWC,112.2,35,98.9,83,54.3,329,-0.084,314,,,
2005,Georgetown,BE,112.2,36,99.8,97,59.2,324,-0.005,174,,,
2005,UNI ,MVC,112.2,37,98.9,85,64.5,233,-0.035,254,,,
2004,Milwaukee,Horz,112.2,41,101.7,137,70.4,25,-0.024,224,,,
2023,Texas Tech,B12,112.1,60,98.5,56,67.5,174,-0.08,336,,,
2023,Oklahoma,B12,112.1,61,98,48,65.5,285,-0.037,274,,,
2023,Nevada,MWC,112.1,62,96.9,38,66.2,247,0.028,110,,,
2021,Oklahoma ,B12,112.1,35,95.1,51,67.1,228,-0.025,238,,,
2021,Oregon St. ,P12,112.1,36,95.7,60,65.5,306,0.072,40,,,
2020,Minnesota,B10,112.1,30,94.2,41,66.8,257,-0.13,351,,,
2019,Dayton ,A10,112.1,43,100.8,103,64.7,322,-0.047,289,,,
2019,UCF ,Amer,112.1,44,95.6,33,65,309,0.011,152,,,
2016,VCU ,A10,112.1,58,95,24,69.6,96,-0.07,326,,,
2013,Davidson ,SC,112.1,32,100.7,136,63.9,205,-0.002,186,,,
2012,NC State ,ACC,112.1,32,97.9,78,67,83,-0.004,183,,,
2011,Gonzaga ,WCC,112.1,45,95.6,44,66.1,126,-0.007,199,,,
2005,UConn ,BE,112.1,38,90.2,10,70.6,28,-0.031,246,,,
2003,Oklahoma ,B12,112.1,25,89.1,10,62.7,299,0.034,84,,,
2023,Duke,ACC,112,63,95.4,27,65.3,292,0.054,57,,,
2023,Illinois,B10,112,64,95.4,28,69.5,75,-0.03,261,,,
2022,Illinois ,B10,112,30,93.3,29,67.2,179,0.033,110,,,
2020,North Florida,ASun,112,31,111.6,324,69.4,111,0.034,93,,,
2019,San Francisco,WCC,112,45,102.1,125,66.6,232,-0.022,240,,,
2019,BYU,WCC,112,46,104.3,162,70.9,44,0.027,106,,,
2019,Creighton ,BE,112,47,99.3,83,68.7,118,-0.034,261,,,
2015,Hofstra,CAA,112,49,106.6,216,68.7,19,-0.111,346,,,
2014,Delaware ,CAA,112,60,106.2,192,70.4,10,0.064,41,,,
2013,South Dakota St. ,Sum,112,33,105.2,223,62.6,261,0.03,103,,,
2012,Davidson ,SC,112,33,101.4,141,67.4,65,0.008,151,,,
2011,Southern Miss.,CUSA,112,46,101.8,130,64.5,222,-0.025,244,,,
2011,VCU ,CAA,112,47,98.5,78,65.6,156,0.021,128,,,
2010,Minnesota ,B10,112,41,94.1,41,65.6,190,-0.055,302,,,
2010,Houston ,CUSA,112,42,103.2,179,71.1,14,-0.083,335,,,
2007,Syracuse ,BE,112,60,95.2,32,70.4,32,-0.066,308,,,
2005,Wisconsin ,B10,112,39,91.2,11,62.8,291,0.042,71,,,
2023,Eastern Wash.,BSky,111.9,65,107.7,222,68.6,127,0.064,50,,,
2023,North Carolina,ACC,111.9,66,97.5,43,69.3,90,-0.069,324,,,
2023,Detroit Mercy,Horz,111.9,67,113.7,334,67.4,176,-0.103,352,,,
2022,Michigan St. ,B10,111.9,31,97.1,67,67.5,147,0.052,69,,,
2018,Central Conn. St.,NEC,98,300,110.8,296,64.5,329,0.066,38,,,
2017,William & Mary,CAA,111.9,52,109.7,272,70.9,53,-0.003,192,,,
2017,Dayton ,A10,111.9,53,96.3,43,68.4,163,-0.021,235,,,
2017,Auburn,SEC,111.9,54,103.3,147,73.6,10,0.045,68,,,
2017,Arizona St.,P12,111.9,55,109.1,257,70,79,0.035,87,,,
2016,UConn ,Amer,111.9,59,93.2,12,65.9,277,-0.036,270,,,
2016,LSU,SEC,111.9,60,102.3,124,72.3,22,0.022,116,,,
2016,Ole Miss,SEC,111.9,61,102,121,68.5,144,0.022,117,,,
2015,Boise St. ,MWC,111.9,50,98.1,63,62.8,259,0.009,165,,,
2012,Saint Louis ,A10,111.9,34,90.7,12,61.9,303,-0.056,301,,,
2012,Colorado St. ,MWC,111.9,35,103.7,189,63.6,250,0.075,21,,,
2011,New Mexico ,MWC,111.9,48,97.2,61,64.9,191,-0.07,318,,,
2009,Creighton ,MVC,111.9,43,100.1,112,67,98,0.05,54,,,
2008,Western Ky. ,SB,111.9,48,97.3,62,68.2,69,-0.021,219,,,
2006,Oregon,P10,111.9,37,100.6,124,63.6,244,-0.144,332,,,
2005,Iowa ,B10,111.9,40,94.7,35,68.1,87,-0.034,251,,,
2004,Stanford ,P10,111.9,42,89.3,5,64.5,212,0.051,56,,,
2023,Belmont,MVC,111.8,68,107.7,221,68.5,134,0.025,118,,,
2022,Santa Clara,WCC,111.8,32,101,132,70.8,26,-0.014,206,,,
2022,Massachusetts,A10,111.8,33,113,342,69.1,76,0.052,70,,,
2021,Maryland ,B10,111.8,37,94.1,42,64.7,321,-0.024,234,,,
2018,Loyola Maryland,Pat,96.2,318,110.8,295,68.4,168,0.02,122,,,
2016,Eastern Wash.,BSky,111.8,62,115.1,336,68.7,133,-0.045,285,,,
2015,Oklahoma St. ,B12,111.8,51,96.8,53,63.3,238,-0.045,287,,,
2014,Texas ,B12,111.8,61,97.3,53,66.8,70,0.092,14,,,
2014,Washington,P12,111.8,62,105,168,66.7,76,0.037,95,,,
2013,La Salle ,A10,111.8,34,98,87,64.6,177,0.051,50,,,
2013,Wichita St. ,MVC,111.8,35,91.5,20,63.8,208,-0.002,185,,,
2012,Oral Roberts ,Sum,111.8,36,103.7,191,63.2,261,0.063,33,,,
2011,North Carolina ,ACC,111.8,49,89.6,5,70.6,15,0.064,33,,,
2010,Missouri St.,MVC,111.8,43,100.9,134,64.5,241,-0.05,298,,,
2009,Penn St. ,B10,111.8,44,98.9,87,61.8,304,0.08,18,,,
2008,DePaul,BE,111.8,49,106.6,224,65.7,147,-0.031,251,,,
2008,Bradley,MVC,111.8,50,102.7,152,68.5,60,-0.022,221,,,
2008,Dayton ,A10,111.8,51,99.7,91,61.6,296,0.055,48,,,
2007,Davidson ,SC,111.8,61,98.5,66,71.9,14,0.067,33,,,
2007,Marquette ,BE,111.8,62,94.6,30,67.6,93,0.009,156,,,
2007,Providence ,BE,111.8,63,100.8,100,68.6,66,-0.024,241,,,
2006,Wichita St. ,MVC,111.8,38,95.7,49,62.6,267,0.032,89,,,
2005,DePaul,CUSA,111.8,41,100.5,117,62.5,295,0,159,,,
2004,Memphis ,CUSA,111.8,43,95.6,37,66.6,131,0.012,137,,,
2023,Col. of Charleston,CAA,111.7,69,100,72,71.1,29,0.052,63,,,
2020,Florida St. *,ACC,111.7,32,91.5,15,69.9,89,0.065,37,,,
2019,Oregon St.,P12,111.7,48,103.4,150,65.7,280,-0.04,272,,,
2019,DePaul,BE,111.7,49,106.7,223,70.1,64,-0.018,229,,,
2019,Lipscomb ,ASun,111.7,50,97.2,49,73.3,12,-0.013,220,,,
2018,Drexel,CAA,103,211,110.7,292,69,123,0.064,42,,,
2016,IPFW ,Sum,111.7,63,108.6,248,69.5,105,0.139,3,,,
2014,California ,P12,111.7,63,99.7,74,64.6,178,0.016,142,,,
2013,Air Force,MWC,111.7,36,104.9,217,63.2,233,0.034,93,,,
2012,Mississippi St. ,SEC,111.7,37,102.4,158,63.9,233,0.007,154,,,
2012,Long Beach St. ,BW,111.7,38,96.4,53,66.4,109,-0.047,274,,,
2010,Washington ,P10,111.7,44,93.6,33,71.7,10,0.029,94,,,
2009,Northwestern ,B10,111.7,45,99.7,102,60.2,324,-0.029,250,,,
2008,Oakland,Sum,111.7,52,109.3,281,67.1,100,-0.016,209,,,
2007,Washington St. ,P10,111.7,64,92.8,16,60,322,0.004,170,,,
2007,California,P10,111.7,65,101.7,117,64.5,217,-0.02,230,,,
2004,Marquette,CUSA,111.7,44,104.6,182,64.2,223,0.02,118,,,
2023,Santa Clara,WCC,111.6,70,101.5,95,70.2,43,0.09,21,,,
2023,Marshall,SB,111.6,71,101.8,97,72.3,12,-0.063,316,,,
2021,Auburn,SEC,111.6,38,98.4,103,71,54,-0.044,275,,,
2019,Yale ,Ivy,111.6,51,102.8,141,71,41,0.041,80,,,
2018,Northwestern St.,Slnd,88.3,349,110.7,291,68.9,137,-0.08,337,,,
2017,Central Mich.,MAC,111.6,56,117.6,345,75.3,5,0.053,52,,,
2016,Hofstra ,CAA,111.6,64,103.2,142,69.5,103,0.024,112,,,
2015,Georgia St. ,SB,111.6,52,101.3,112,62.4,275,-0.003,192,,,
2015,Alabama ,SEC,111.6,53,99.3,84,62.2,283,-0.032,255,,,
2015,Colorado St. ,MWC,111.6,54,101.6,118,66.6,64,0.087,16,,,
2013,Belmont ,OVC,111.6,37,96.6,69,65.9,114,0.013,144,,,
2012,Iowa ,B10,111.6,39,104.4,205,67.3,70,0.011,144,,,
2010,New Mexico St. ,WAC,111.6,45,105.5,231,70.3,24,0.122,5,,,
2009,Wake Forest ,ACC,111.6,46,92.7,22,72.8,7,0.051,52,,,
2006,Montana ,BSky,111.6,39,102.7,161,66.2,127,0.056,50,,,
2005,Charlotte ,CUSA,111.6,42,99.5,90,70.6,29,0.042,72,,,
2005,Western Mich.,MAC,111.6,43,100.4,114,64.9,217,-0.067,300,,,
2003,UConn ,BE,111.6,26,92,17,71.2,29,0.005,152,,,
2023,Ohio,MAC,111.5,72,108.8,253,68.3,142,-0.029,258,,,
2023,Clemson,ACC,111.5,73,99.2,64,68.3,139,0.01,156,,,
2023,Virginia,ACC,111.5,74,96.1,34,61.7,360,0.052,62,,,
2022,Murray St. ,OVC,111.5,34,96.1,52,66.1,241,0.074,43,,,
2022,Tennessee ,SEC,111.5,35,86.4,3,67.4,157,0.029,117,,,
2022,Providence ,BE,111.5,36,95.6,44,65.2,276,0.164,1,,,
2021,South Dakota St.,Sum,111.5,39,104.6,222,70.9,59,0.008,153,,,
2018,LIU Brooklyn ,NEC,102.3,220,110.6,287,71.6,37,0.012,144,,,
2017,Rhode Island ,A10,111.5,57,95.2,30,66.4,262,-0.033,267,,,
2012,Marquette ,BE,111.5,40,91.3,14,70,15,0.042,67,,,
2011,Portland,WCC,111.5,50,105.3,222,63.1,278,0.052,51,,,
2011,IUPUI,Sum,111.5,51,107.7,261,61.6,321,0.014,143,,,
2010,Missouri ,B12,111.5,46,91.5,18,68.8,51,-0.035,264,,,
2009,LSU ,SEC,111.5,47,96.6,60,66.1,136,0.075,22,,,
2007,DePaul ,BE,111.5,66,96.3,44,62.4,295,-0.018,225,,,
2006,Wisconsin ,B10,111.5,40,96.6,61,65.2,171,-0.024,219,,,
2005,Xavier,A10,111.5,44,102.4,158,63.1,284,-0.087,316,,,
2004,Niagara,MAAC,111.5,45,106.1,212,69.9,28,-0.028,233,,,
2003,Missouri ,B12,111.5,27,94.2,34,66.9,173,0.043,68,,,
2023,Portland,WCC,111.4,75,110.1,272,69.2,96,-0.056,303,,,
2021,Ohio ,MAC,111.4,40,100.9,145,69.2,123,0.031,104,,,
2020,Auburn *,SEC,111.4,33,95.5,55,69.2,127,0.103,7,,,
2019,Minnesota ,B10,111.4,52,97,48,67.4,186,0.086,15,,,
2018,Prairie View,SWAC,101.4,240,110.6,290,70.8,55,0.01,147,,,
2018,Sacramento St.,BSky,99.8,260,110.6,286,65.6,304,-0.067,321,,,
2018,Bethune-Cookman,MEAC,99.5,262,110.6,288,76,3,0.025,112,,,
2017,Michigan St. ,B10,111.4,58,95.9,37,66.9,241,-0.011,214,,,
2016,Georgetown,BE,111.4,65,99.7,81,67.9,180,-0.102,344,,,
2016,South Dakota St. ,Sum,111.4,66,101.8,117,68.3,157,0.004,168,,,
2015,Oakland,Horz,111.4,55,111.3,309,66.5,71,0.019,135,,,
2014,Texas Tech,B12,111.4,64,102.4,120,59.9,340,-0.053,305,,,
2013,Kentucky ,SEC,111.4,38,98.1,88,65.4,135,-0.006,194,,,
2012,West Virginia ,BE,111.4,41,97.9,77,64,226,-0.019,221,,,
2011,Louisville ,BE,111.4,52,89.2,3,66.8,88,-0.037,269,,,
2010,Pittsburgh ,BE,111.4,47,92.8,28,61.3,319,0.041,76,,,
2010,San Diego St. ,MWC,111.4,48,94.9,51,63.1,284,0.006,155,,,
2009,Ole Miss,SEC,111.4,48,104.2,196,66.3,128,-0.001,166,,,
2008,Arkansas ,SEC,111.4,53,96.2,48,66.5,119,0.008,153,,,
2007,Missouri,B12,111.4,67,98.6,69,72,12,-0.054,291,,,
2005,Miami (FL),ACC,111.4,45,100.5,118,64.4,237,-0.006,178,,,
2004,Texas Tech ,B12,111.4,46,94.3,24,66.7,126,0.01,143,,,
2004,Air Force ,MWC,111.4,47,96,43,51.9,326,0.025,101,,,
2003,Weber St. ,BSky,111.4,28,102.5,172,66.5,186,0.073,26,,,
2003,Oregon ,P10,111.4,29,97.1,73,71.2,28,0.032,87,,,
2021,Loyola Chicago ,MVC,111.3,41,87,2,63.7,342,-0.024,233,,,
2019,Butler ,BE,111.3,53,102.1,123,66,263,-0.043,280,,,
2018,Dartmouth,Ivy,98.5,287,110.6,289,66.8,245,-0.043,282,,,
2018,Mercer,SC,111.7,60,110.5,283,64.3,335,-0.047,288,,,
2017,Northwestern ,B10,111.3,59,95.5,32,65.6,292,0.019,135,,,
2016,Wichita St. ,MVC,111.3,67,88.7,1,66,276,-0.079,333,,,
2015,Maryland ,B10,111.3,56,95.7,41,63.9,199,0.127,2,,,
2015,Buffalo ,MAC,111.3,57,99.4,87,68.3,23,0.001,182,,,
2014,SMU ,Amer,111.3,65,93.7,15,64.5,183,-0.043,273,,,
2014,Quinnipiac,MAAC,111.3,66,109.4,254,68.3,37,0.055,65,,,
2013,Temple ,A10,111.3,39,98.6,100,65.6,121,0.038,87,,,
2012,UConn ,BE,111.3,42,96.8,57,63,270,-0.032,255,,,
2012,California ,P12,111.3,43,94.9,38,65.7,135,-0.007,192,,,
2006,Hofstra ,CAA,111.3,41,99.6,108,66.2,124,0.097,12,,,
2006,Western Ky. ,SB,111.3,42,103.5,175,68.5,54,0.08,21,,,
2005,Vermont ,AE,111.3,46,97.8,72,64.7,230,0.032,96,,,
2004,Colorado,B12,111.3,48,99.5,93,68.1,80,0.034,83,,,
2023,Yale,Ivy,111.2,76,99.1,61,66.3,234,-0.037,275,,,
2023,Saint Louis,A10,111.2,77,104.6,155,69.4,88,0.042,84,,,
2022,Xavier,BE,111.2,37,97.8,82,68.6,100,0.01,152,,,
2022,Memphis ,Amer,111.2,38,94,33,69.9,49,-0.028,242,,,
2021,St. John's (NY),BE,111.2,42,98.9,112,73.4,10,0.014,144,,,
2020,North Texas **,CUSA,111.2,34,101.2,146,62.9,350,-0.032,268,,,
2017,Ohio St.,B10,111.2,60,101,99,68,192,-0.054,302,,,
2016,Utah St.,MWC,111.2,68,108,233,67,238,-0.032,261,,,
2016,Tulsa ,Amer,111.2,69,99.7,79,68.4,149,-0.003,181,,,
2016,Cincinnati ,Amer,111.2,70,94.1,16,64,333,-0.067,322,,,
2014,Arizona St. ,P12,111.2,67,96.4,41,67.4,58,0.003,180,,,
2014,Ole Miss,SEC,111.2,68,102.3,116,68.1,41,-0.006,199,,,
2014,St. Bonaventure,A10,111.2,69,102.4,118,65.8,117,-0.066,320,,,
2013,Canisius,MAAC,111.2,40,106.2,248,65.1,146,-0.015,225,,,
2012,Southern Miss. ,CUSA,111.2,44,100.4,125,63.8,238,0.041,68,,,
2012,Georgetown ,BE,111.2,45,90.1,9,62.1,294,-0.014,202,,,
2011,St. John's (NY) ,BE,111.2,53,95.3,40,66,133,0.047,62,,,
2011,Utah St. ,WAC,111.2,54,91.8,14,62.4,302,0.033,93,,,
2009,Louisville ,BE,111.2,49,85.2,2,66.9,103,0.068,25,,,
2009,Miami (FL) ,ACC,111.2,50,95.9,48,64.3,216,-0.048,290,,,
2007,Utah St. ,WAC,111.2,68,103.4,147,63.5,257,0.039,79,,,
2007,App State ,SC,111.2,69,100.8,99,66.7,124,0.074,29,,,
2006,Miami (FL) ,ACC,111.2,43,98.5,91,61,305,-0.039,260,,,
2006,Iowa St.,B12,111.2,44,101.2,132,69.8,30,-0.052,285,,,
2005,Providence,BE,111.2,47,99.8,98,68.7,65,-0.092,318,,,
2004,Western Ky.,SB,111.2,49,107.4,246,66.2,146,-0.056,275,,,
2004,Chattanooga,SC,111.2,50,110,286,66.8,122,0.043,66,,,
2003,NC State ,ACC,111.2,30,98.1,88,65,257,-0.023,223,,,
2003,Ole Miss,SEC,111.2,31,100.3,130,62.8,298,-0.099,313,,,
2003,Kent St.,MAC,111.2,32,104.7,210,66.7,179,0.023,110,,,
2023,Boise St.,MWC,111.1,78,93.9,14,66.8,214,0.017,138,,,
2023,UC Santa Barbara,BW,111.1,79,104.9,161,64.6,317,0.051,66,,,
2023,Tulane,Amer,111.1,80,104.1,143,73.2,3,0.044,79,,,
2022,Vermont ,AE,111.1,39,97.9,83,64.9,292,-0.028,241,,,
2021,Arkansas ,SEC,111.1,43,89.6,10,72.6,19,0.064,51,,,
2019,Liberty ,ASun,111.1,54,99.6,87,62.3,349,0.009,158,,,
2019,Austin Peay,OVC,111.1,55,106.8,226,69,105,-0.009,207,,,
2019,Xavier ,BE,111.1,56,100.5,102,65.2,302,-0.004,192,,,
2019,Oklahoma ,B12,111.1,57,94.1,23,68.6,123,0.023,119,,,
2018,Massachusetts,A10,106.4,142,110.5,285,66.4,264,-0.013,212,,,
2018,Coppin St.,MEAC,86.5,351,110.5,284,67.1,232,-0.026,253,,,
2018,Hofstra,CAA,111.1,71,110.1,282,68.9,136,0.062,50,,,
2018,Mount St. Mary's,NEC,103.7,191,110.1,281,64.7,325,0.029,103,,,
2017,Louisiana Lafayette,SB,111.1,61,109.8,279,72.2,23,0.034,89,,,
2017,Vermont ,AE,111.1,62,99.4,73,64.5,315,0.053,53,,,
2017,Ole Miss ,SEC,111.1,63,100.9,96,71.6,33,0.062,37,,,
2017,Hofstra,CAA,111.1,64,112.4,311,67.7,206,-0.034,270,,,
2016,Northwestern,B10,111.1,71,100.1,87,63.7,338,-0.002,178,,,
2016,Seton Hall ,BE,111.1,72,92.9,10,69.7,92,0.016,132,,,
2015,VCU ,A10,111.1,58,94.9,26,66.5,70,0.043,75,,,
2014,Houston,Amer,111.1,70,107.7,225,65.4,136,0.057,58,,,
2014,Arkansas ,SEC,111.1,71,96.9,44,70.7,7,-0.033,252,,,
2013,Oklahoma ,B12,111.1,41,97.3,80,65.2,141,0.004,166,,,
2013,UCLA ,P12,111.1,42,96.6,67,68.1,35,0.068,32,,,
2012,UC Santa Barbara,BW,111.1,46,104.7,214,63.6,248,-0.009,194,,,
2011,Cincinnati ,BE,111.1,55,91.7,13,62.6,293,0.04,80,,,
2011,Kansas St. ,B12,111.1,56,93.6,25,66.4,106,0.01,149,,,
2009,Georgetown ,BE,111.1,51,94.2,36,62.7,277,-0.106,340,,,
2009,Western Ky. ,SB,111.1,52,103,173,65.6,155,0.092,10,,,
2008,New Mexico ,MWC,111.1,54,94,30,64.4,196,-0.046,285,,,
2007,Wichita St.,MVC,111.1,70,98.7,73,63.4,263,-0.071,310,,,
2006,Akron ,MAC,111.1,45,101.8,146,64.1,227,0.037,78,,,
